,user_id,language,platform,gender,age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26
31,803144dd-8bb5-435e-94af-99bace5baf35,en,Mobile,male,21.0,8.0,7.0,9.0,4.0,7.0,9.0,7.0,9.0,9.0,7.0,7.0,8.0,9.0,7.0,5.0,9.0,8.0,8.0,5.0,8.0,5.0,9.0,9.0,9.0,8.0,8.0
32,780a59cc-70e6-4148-94c9-47bd1744cd5c,en,Mobile,male,18.0,6.0,8.0,8.0,4.0,7.0,9.0,9.0,8.0,10.0,10.0,6.0,9.0,10.0,7.0,8.0,4.0,10.0,10.0,7.0,9.0,9.0,9.0,7.0,7.0,6.0,6.0
33,3cd027c4-c9cf-475c-a678-769abe7e816a,en,Mobile,male,21.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0
34,902d976c-f400-44ab-a0ac-198d94ba035a,en,Mobile,male,37.0,6.0,8.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,5.0,5.0,8.0,8.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,9.0
35,3d551ae7-9275-41b2-8270-260d730a6222,en,Desktop,male,38.0,5.0,5.0,4.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,5.0,3.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0
36,42798e5c-9aa2-4efd-a370-5635018d4d81,en,Mobile,male,18.0,10.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,9.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,10.0,8.0,7.0,8.0,9.0,6.0,8.0,10.0,9.0
37,c65d2c31-227d-4750-af1a-1bfd6902d881,en,Mobile,female,45.0,7.0,8.0,10.0,6.0,6.0,6.0,6.0,7.0,10.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,7.0,7.0,6.0,6.0
38,4b737514-74b7-433a-9dde-ea224a6deeb9,en,Mobile,male,21.0,8.0,7.0,2.0,3.0,8.0,10.0,10.0,5.0,5.0,9.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,5.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0
40,95897683-0e62-4f31-8575-77136b4ebebe,en,Mobile,male,20.0,9.0,9.0,9.0,9.0,7.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0
41,6cd79452-c315-4dbe-93af-8c2077a67a56,en,Mobile,female,26.0,9.0,9.0,5.0,10.0,9.0,9.0,7.0,9.0,5.0,8.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,7.0,10.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0
42,334df000-99c4-4ccd-b5b5-4b8cabdad476,en,Desktop,male,18.0,8.0,6.0,5.0,4.0,5.0,8.0,8.0,5.0,3.0,6.0,5.0,5.0,9.0,9.0,9.0,5.0,8.0,4.0,6.0,4.0,4.0,7.0,9.0,8.0,3.0,8.0
43,1537bb2d-2d89-4d66-b6c7-f3659b85403f,en,Mobile,male,20.0,8.0,9.0,9.0,7.0,8.0,6.0,10.0,8.0,9.0,7.0,8.0,7.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0
44,b2a12ed0-6436-4cbc-b70d-d0a7ba0e0981,en,Desktop,male,19.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0
45,e03a0573-ee71-4c91-a8ca-0b1eb82c1300,en,Desktop,male,37.0,9.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,2.0,4.0,5.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,1.0,3.0,7.0,7.0,7.0,3.0
46,ba818a91-0bf1-47d4-bc93-e5befe1c26e6,en,Mobile,male,22.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0
47,d4a66c13-cd50-4171-8849-d52f0898a156,en,Mobile,female,20.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0
48,ca6bae45-d4f7-4d52-bd43-e4d3542a6f93,en,Mobile,male,21.0,8.0,8.0,9.0,8.0,8.0,3.0,8.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,6.0,6.0,9.0,7.0,7.0,7.0,7.0,8.0,5.0,6.0,7.0,5.0
50,f98ab946-62e2-4cb1-97a4-3301ccccba1b,en,Mobile,female,19.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,8.0,2.0,3.0,8.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0
52,ea3518ef-6655-4a33-bf76-337e21de5689,en,Mobile,female,46.0,10.0,9.0,9.0,9.0,9.0,9.0,6.0,8.0,7.0,4.0,5.0,4.0,7.0,7.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0
53,f9cc1fc5-b439-4f4b-8257-0e5b2f47eb02,es,Desktop,male,55.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,7.0,7.0,5.0,5.0,3.0,5.0,5.0,9.0,5.0,10.0,5.0,6.0,6.0,8.0,7.0,6.0,9.0,8.0,8.0
54,ca55018f-21c4-41c2-b38f-b966fc3a8075,en,Mobile,male,19.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,6.0,8.0,10.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,10.0
55,a663330e-6e40-4813-b6f7-232aba1299eb,en,Mobile,male,19.0,6.0,8.0,9.0,10.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,9.0,8.0,10.0,10.0,7.0,10.0,8.0
57,c9301569-631c-4d4d-aa30-2a65a5873029,en,Mobile,male,45.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,4.0,6.0,6.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,9.0,9.0,8.0,6.0,6.0,7.0,7.0
60,d0d86600-3649-4760-bb23-89f353e7d20b,en,Mobile,female,19.0,4.0,2.0,5.0,3.0,6.0,8.0,8.0,7.0,5.0,5.0,4.0,7.0,9.0,9.0,5.0,6.0,9.0,9.0,3.0,3.0,5.0,8.0,10.0,10.0,10.0,9.0
62,9d832240-0310-4657-90c0-20525d24d766,en,Mobile,male,21.0,9.0,8.0,6.0,6.0,8.0,9.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,7.0,9.0,7.0,9.0,8.0
63,f6ae26b4-f319-4305-a6ca-9cdd8528695d,es,Desktop,male,18.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,4.0,4.0,4.0,9.0,7.0,8.0,4.0,10.0,4.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0
64,f038ad7e-db1f-430f-8974-12c83a20eb8e,en,Mobile,male,20.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
65,f3b05d57-f280-41fc-a32d-d94647bade9a,en,Mobile,female,18.0,1.0,5.0,8.0,6.0,7.0,7.0,8.0,8.0,7.0,10.0,6.0,8.0,8.0,10.0,8.0,8.0,8.0,5.0,7.0,4.0,7.0,6.0,5.0,8.0,9.0,7.0
66,13e305ec-6c39-4b60-9cf1-5ddeae54b677,en,Mobile,male,20.0,7.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,6.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.0,8.0,7.0,6.0,5.0,9.0
67,e0ffda50-97e7-4872-a467-cc143cbac8fc,en,Mobile,female,12.0,10.0,6.0,10.0,6.0,10.0,10.0,9.0,8.0,9.0,6.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0
69,cd3dad39-da3f-4ada-9e09-a9832ca7bdd7,en,Mobile,male,21.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,8.0,7.0,8.0,5.0,9.0,6.0,10.0,8.0,10.0,9.0,9.0,8.0,6.0,7.0,8.0,6.0
70,f3b94dcb-2dde-48d7-968d-606fcddd692d,en,Desktop,male,46.0,10.0,6.0,10.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,5.0,7.0,7.0,1.0,5.0,8.0,6.0,5.0,8.0,6.0,1.0,1.0,1.0,1.0
71,ddbc5616-edb8-4052-9186-6e105e4491f6,en,Mobile,male,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
72,a7788435-7465-4f4d-9f4f-d412db68b295,en,Mobile,female,18.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,7.0,10.0,6.0,6.0,3.0,6.0,6.0,8.0,7.0,9.0,9.0,8.0,7.0,5.0,7.0,10.0,10.0,6.0,10.0
73,a7788435-7465-4f4d-9f4f-d412db68b295,en,Mobile,female,18.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,7.0,10.0,6.0,6.0,3.0,6.0,6.0,8.0,7.0,9.0,9.0,8.0,7.0,5.0,7.0,10.0,10.0,6.0,10.0
74,a7788435-7465-4f4d-9f4f-d412db68b295,en,Mobile,female,18.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,7.0,10.0,6.0,6.0,3.0,6.0,6.0,8.0,7.0,9.0,9.0,8.0,7.0,5.0,7.0,10.0,10.0,6.0,10.0
